Scene,Person,Pose,Text
,YOU,WORRIED,"""Hey, Honey. It was okay but I feel my manager has the wrong outlook on things."""
,HONEY,WORRIED,"""Oh? I'm sorry to hear that. What happened?"""
,,,
1,,,
,YOU,WORRIED,"""My manager keeps pushing the narrative of saving money, but she doesn't seem to care at all about the environmental impacts of the companies actions."""
,YOU,WORRIED,"""Today she called me into her office and went off at me for preforming poorly on my first project."""
,YOU,WORRIED,"""It was because I decided to focus on creating an environmentally friendly plan for the project I was working on."""
,HONEY,WORRIED,"""I think you should focus on what your boss wants, as you don't want to risk your job, and also at end of the day they are company so profitability comes first."""
,YOU,NEUTRAL,"""Yea I guess so..."""
,,,
,,,
3,,,
~#&,,,
(your cubicle),CASSANDRA,SMILING,"""Hey, come on into my office!"""
,YOU,NEUTRAL,"""Sure thing."""
~,,,
(boss office),CASSANDRA,SMILING,"""You've been doing a great job for the company, profits are through the roof!"""
,YOU,WORRIED,"""I'm glad to hear it, but aren't you concerned about the environment?"""
,CASSANDRA,SMILING,"""Nope! We've been doing better than ever!"""
,YOU,WORRIED,"""But havent you been paying attention to the news?"""
,YOU,WORRIED,"""Extreme weather and temperature fluctuations, poor air quality..."""
,CASSANDRA,SMILING,"""I haven't noticed anything, just go home and celebrate! Don't tell anyone I said this, but there might be a promotion in the works for you..."""
,YOU,WORRIED,"""Ok..."""
~&$%,,,
(breakroom),SIENNA,WORRIED,"""And I've been having this terrible cough the past couple of months..."""
,BARRY,WORRIED,"""Yeah, me too, and there's been terrible winds, too."""
,SIENNA,WORRIED,"""Swear on my mother's grave, I thought a tornado was coming. It was crazy."""
,YOU,WORRIED,"""It's getting hotter, too, right?"""
,SIENNA,WORRIED,"""Yeah! I feel like it wasn't this hot last year."""
,YOU,WORRIED,"""This definitely has something to do with us, right?"""
,BARRY,WORRIED,"""...Do you really think so?"""
,YOU,WORRIED,"""Isn't it obvious?"""
,SIENNA,WORRIED,"""Are you serious? You think we caused this?"""
,YOU,WORRIED,"""Climate change isn't a joke, guys. Cassandra just can't see it, she's blinded by greed."""
,BARRY,WORRIED,"""...She is pretty set in her ways."""
,YOU,WORRIED,"""Yeah, and now look what's happened."""
,SIENNA,WORRIED,"""Is there any way we can fix it?"""
,YOU,WORRIED,"""I really don't know..."""
~$%*,,,
(kitchen),HONEY,SMILING,"""Hey baby! How are you doing?"""
,YOU,WORRIED,"""Really not that good. Haven't you noticed the dramatic changes in the environment?"""
,HONEY,SMILING,"""Whatever do you mean?"""
,YOU,WORRIED,"""You can't tell me you haven't noticed. The record-breaking heat? The tornados? The smog?"""
*<,HONEY,SMILING,"""I don't know what you're talking about, sweetie."""
,YOU,WORRIED,"""How can you not know what I'm talking about?"""
,HONEY,SMILING,"""Everything has turned out exactly how I planned."""
,YOU,WORRIED,"""...What?"""
<>,BIG OIL,SMILING,"""Hehe..."""
,YOU,WORRIED,"""What."""
,BIG OIL,SMILING,"""The world is more dependent on oil than ever before, and it will be your downfall."""
,BIG OIL,SMILING,"""And it's all your fault. Has that sunk in yet?"""
,BIG OIL,SMILING,"""Hehe..."""
~#>,,,
END SCREEN (BAD ENDING),,,"""As a result of your actions, pollution has negatively impacted the environment immensely."""
,,,"""Climate change, natural disasters, poor air quality, and multitudes of other side effects continue to plague humanity."""
,,,"""Soon, Earth will become inhospitable and society will collapse."""
,,,"""GAME OVER"""
